track_id,track_name,artist,in_library,track_popularity,explicit,danceability,energy,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
038yT5tqY1Fl6kYAbz8wCN,When I Think about You,Gloria Tells,0,43,FALSE,0.741,0.559,-4.371,0,0.0372,0.212,5.95e-6,0.211,0.41,79.999
4w1lzcaoZ1IC2K5TwjalRP,A Thousand Miles,Vanessa Carlton,1,80,FALSE,0.56,0.825,-3.862,1,0.0379,0.323,0,0.161,0.268,94.931
1OOtq8tRnDM8kG2gqUPjAj,Beat It,Michael Jackson,1,84,FALSE,0.779,0.867,-3.704,0,0.0457,0.0491,7.98e-6,0.197,0.915,138.858
6m1TWFMeon7ai9XLOzdbiR,FAKE LOVE,BTS,1,81,FALSE,0.557,0.719,-4.515,0,0.0371,0.00267,0,0.306,0.345,77.502
6ZEl3e2bF0jUAhuXqC4bgo,The Greatest,Sia,0,45,FALSE,0.64,0.79,-6.17,0,0.177,0.0164,0.00123,0.0511,0.711,192.141
52xJxFP6TqMuO4Yt0eOkMz,We Don't Talk About Bruno,Carolina Gaitán - La Gaita; Mauro Castillo; Adassa; Rhenzy Feliz; Diane Guerrero; Stephanie Beatriz; Encanto - Cast,1,96,FALSE,0.577,0.45,-8.516,0,0.0834,0.357,0,0.111,0.83,205.863
1HNkqx9Ahdgi1Ixy2xkKkL,Photograph,Ed Sheeran,0,87,FALSE,0.614,0.379,-10.48,1,0.0476,0.607,4.64e-4,0.0986,0.201,107.989
5kqIPrATaCc2LqxVWzQGbk,7 Years,Lukas Graham,0,83,FALSE,0.765,0.473,-5.829,1,0.0514,0.287,0,0.391,0.34,119.992
29GHQMBkpSfuSL7k7D11H0,带你去海边,罗帅,0,3,FALSE,0.822,0.757,-4.643,1,0.0303,0.315,0,0.1,0.655,102.053
3AVXwaOGCEL8cmBecfcsFJ,Light Switch,Charlie Puth,1,81,FALSE,0.69,0.626,-5.693,1,0.306,0.105,3.35e-4,0.0881,0.912,184.009
6vECYJHxYmm3Ydt3fF01pE,Stolen Dance,Milky Chance,0,77,FALSE,0.885,0.581,-8.813,1,0.0378,0.427,2.04e-4,0.0759,0.728,114.016
3U8Fx7zNTQrctytkj6Gqgd,Carnival of the Animals: The Swan,Camille Saint-Saëns; Isata Kanneh-Mason; Jeneba Kanneh-Mason; Sheku Kanneh-Mason,0,65,FALSE,0.213,0.0656,-24.81,1,0.0467,0.992,0.969,0.0699,0.0384,65.023
5mRrklQD0rvuN6sV10HfPn,"Unaccompanied Cello Suite No. 1 in G major, BWV 1007: I. Prélude",Johann Sebastian Bach; Yo-Yo Ma,0,63,FALSE,0.326,0.0993,-22.496,1,0.072,0.988,0.916,0.108,0.417,137.274
1BSncOsSJPQkpl29QM0ipj,DRAMARAMA,Monsta X,1,60,FALSE,0.571,0.779,-2.864,1,0.111,0.135,0,0.202,0.261,186.154
02MWAaffLxlfxAUY7c5dvx,Heat Waves,Glass Animals,1,95,FALSE,0.761,0.525,-6.9,1,0.0944,0.44,6.7e-6,0.0921,0.531,80.87
5Z9KJZvQzH6PFmb8SNkxuk,INDUSTRY BABY (feat. Jack Harlow),Lil Nas X; Jack Harlow,1,91,TRUE,0.741,0.691,-7.395,0,0.0672,0.0221,0,0.0476,0.892,150.087
46IZ0fSY2mpAiktS3KOqds,Easy On Me,Adele,1,90,FALSE,0.604,0.366,-7.519,1,0.0282,0.578,0,0.133,0.13,141.981
4ZtFanR9U6ndgddUvNcjcG,good 4 u,Olivia Rodrigo,1,95,TRUE,0.563,0.664,-5.044,1,0.154,0.335,0,0.0849,0.688,166.928
3o9kpgkIcffx0iSwxhuNI2,Numb Little Bug,Em Beihold,1,90,FALSE,0.742,0.527,-6.892,0,0.0769,0.327,0,0.25,0.638,84.974
1k1Bqnv2R0uJXQN4u6LKYt,Ain't No Sunshine,Bill Withers,1,81,FALSE,0.527,0.415,-11.451,0,0.122,0.457,1.72e-5,0.117,0.515,78.169
0cqRj7pUJDkTCEsJkx8snD,Shake It Off,Taylor Swift,1,83,FALSE,0.647,0.8,-5.384,1,0.165,0.0647,0,0.334,0.942,160.078
3hdd3WJLagemc3ynu6LyKE,A・RA・SHI,ARASHI,0,52,FALSE,0.439,0.953,-4.133,1,0.157,0.0305,0,0.132,0.475,120.432
44ONERBHALxftQNWq6dmyd,Side To Side,Ariana Grande; Nicki Minaj,1,79,TRUE,0.65,0.736,-5.84,0,0.229,0.0513,0,0.235,0.612,159.174
3VT8hOC5vuDXBsHrR53WFh,Astronaut In The Ocean,Masked Wolf,1,62,TRUE,0.778,0.695,-6.865,0,0.0913,0.175,0,0.15,0.472,149.996
0AiTIiCQ15NW8QHQwSxKuR,Drowning,Backstreet Boys,0,66,FALSE,0.568,0.782,-5.968,1,0.0396,0.0799,0,0.0985,0.481,141.942
6mzF8HvHdVrzJNd8M1uFCS,Beautiful,Crush,0,73,FALSE,0.416,0.41,-6.146,1,0.0292,0.843,0,0.107,0.219,110.252
3LPLfXuotB7yfXxK25YC7T,Beautiful Journey,HIRAIDAI,0,51,FALSE,0.734,0.714,-5.097,1,0.0358,0.297,0,0.402,0.685,124.042
3Wrjm47oTz2sjIgck11l5e,Beggin',Måneskin,1,92,FALSE,0.714,0.8,-4.808,0,0.0504,0.127,0,0.359,0.589,134.002
0pqnGHJpmpxLKifKRmU6WP,Believer,Imagine Dragons,1,91,FALSE,0.776,0.78,-4.374,0,0.128,0.0622,0,0.081,0.666,124.949
7iAgNZdotu40NwtoIWJHFe,Bet You Wanna (feat. Cardi B),BLACKPINK; Cardi B,1,67,FALSE,0.653,0.662,-6.168,1,0.162,0.00465,0,0.0626,0.674,111.712
6NEoeBLQbOMw92qMeLfI40,WHISTLE,BLACKPINK,1,76,FALSE,0.818,0.723,-4.82,1,0.114,0.00561,0,0.0866,0.607,102.945
0VjIjW4GlUZAMYd2vXMi3b,Blinding Lights,The Weeknd,1,94,FALSE,0.514,0.73,-5.934,1,0.0598,0.00146,9.54e-5,0.0897,0.334,171.005
